name,rating,sector,no_of_employees,ownership_status,age_of_company,headquarters_location,salary,available_jobs
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56.0,Mumbai,869999.9999999999,1100.0
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35.0,Dublin,590000.0,43200.0
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30.0,Teaneck. New Jersey.,570000.0,559.0
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79.0,Bangalore/Bengaluru,430000.0,226.0
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57.0,Paris,430000.0,568.0
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,130000.0,186.0
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,140000.0,73.0
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43.0,Bengaluru/Bangalore,459999.99999999994,804.0
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33.0,Noida,300000.0,146.0
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38.0,Pune,250000.0,320.0
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27.0,New York,190000.0,445.0
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31.0,Mumbai,96800.0,188.0
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46.0,Paris,85900.0,306.0
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41.0,Fremont,110000.00000000001,74.0
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6.0,Navi Mumbai,66400.0,156.0
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30.0,Seattle,120000.0,127.0
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113.0,Faridabad,220000.00000000003,1900.0
Reliance Retail,4.0,Retail,1 Lakh+ Employees,,18.0,Faridabad,61600.0,154.0
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,,17.0,Faridabad,49300.0,137.0
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86.0,Faridabad,78000.0,100.0
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6.0,Mumbai,56800.0,19.0
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13.0,Bangalore,60300.0,6.0
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,21.0,Mumbai,78500.0,9.0
Deloitte,3.9,Management Consulting,1 Lakh+ Employees,,179.0,London,180000.0,441.0
Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47.0,Navi Mumbai,65600.0,36.0
iEnergizer,4.7,BPO,10k-50k Employees,,24.0,Noida,19200.0,94.0
Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29.0,Gurgaon/Gurugram,44000.0,156.0
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79.0,Pune,39900.0,181.0
WNS,3.5,BPO,10k-50k Employees,,28.0,Mumbai,54700.0,77.0
Flipkart,4.1,Internet,10k-50k Employees,Public,17.0,Bangalore,46300.0,208.0
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30.0,Gurgaon/Gurugram,46400.0,153.0
Ernst & Young,3.6,Management Consulting,50k-1 Lakh Employees,,22.0,London,130000.0,220.0
AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28.0,Jaipur,19200.0,56.0
Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79.0,Mumbai,36600.0,15.0
Infosys BPM,3.8,BPO,10k-50k Employees,,22.0,Bangalore/Bengaluru,60700.0,191.0
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7.0,Minato,79700.0,68.0
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6.0,Mumbai,41300.0,55.0
Conneqt Business Solutions,3.7,BPO,10k-50k Employees,,22.0,Mumbai,26100.0,424.0
LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27.0,Bangalore / Bengaluru,99800.0,332.0
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24.0,Mumbai,29900.0,10.0
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56.0,Mumbai,869999.9999999999,1100.0
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35.0,Dublin,590000.0,43200.0
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30.0,Teaneck. New Jersey.,570000.0,559.0
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79.0,Bangalore/Bengaluru,430000.0,226.0
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57.0,Paris,430000.0,568.0
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,130000.0,186.0
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,140000.0,73.0
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43.0,Bengaluru/Bangalore,459999.99999999994,804.0
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33.0,Noida,300000.0,146.0
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38.0,Pune,250000.0,320.0
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27.0,New York,190000.0,445.0
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31.0,Mumbai,96800.0,188.0
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46.0,Paris,85900.0,306.0
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41.0,Fremont,110000.00000000001,74.0
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6.0,Navi Mumbai,66400.0,156.0
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30.0,Seattle,120000.0,127.0
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113.0,Armonk,220000.00000000003,1900.0
Reliance Retail,4.0,Retail,1 Lakh+ Employees,,18.0,Navi Mumbai,61600.0,154.0
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,,17.0,Ahmedabad,49300.0,137.0
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86.0,Mumbai,78000.0,100.0
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6.0,Mumbai,56800.0,19.0
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13.0,Bangalore,60300.0,6.0
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,21.0,Mumbai,78500.0,9.0
